spread_seed,channel,omega_pred
202,dephase,0.15273633250722596
202,corr_dephase,0.15309497610767045
203,dephase,0.148027044942524
203,corr_dephase,0.15901373794699336
204,dephase,0.19157582360271713
204,corr_dephase,0.18839378293822542
