channel,lambda_coh,lambda_coh_probe_extrap,lambda_vis_op,omega_mode,rel_recovery_err,spectral_anisotropy,probe_spread,recovered_tol
amp_damp,0.9999999999998899,0.9999999999949554,0.9999999999998899,1.0,0.0,0.0,3.3306690738754696e-16,True
dephase,3.9959999999998885,3.999999999988456,3.9959999999992233,0.9999999999998336,1.6642243139131097e-13,1.6670015384762574e-13,1.141309269314661e-13,True
depol,6.647586339771916,6.666666635817644,6.647586339771917,1.0000000000000002,2.220446049250313e-16,3.340228972981641e-14,4.263256414560601e-14,True
x_err,7.973049945035248,7.999999949972036,7.97106191507522,0.9997506562766152,0.0002493437233848095,0.0002493437233850292,0.0004477510850415811,True
