channel,n_theta,lambda_resp,ci_lo,ci_hi,ci_width,ess
dephase,10,7.991999999998797,7.991999999998027,7.991999999999442,1.4148682225822995e-12,5.075209662661517
dephase,20,7.991999999998966,7.991999999998376,7.991999999999438,1.0613732115416497e-12,8.302714465065401
dephase,40,7.991999999998829,7.991999999998397,7.991999999999194,7.975842208907125e-13,15.404406300117012
dephase,80,7.991999999998865,7.991999999998636,7.991999999999044,4.085620730620576e-13,28.59871484183892
amp_damp,10,2.999999999999821,2.9999999999997646,2.999999999999867,1.0258460747536446e-13,5.075209662661517
amp_damp,20,2.999999999999828,2.9999999999997926,2.9999999999998606,6.794564910705958e-14,8.302714465065401
amp_damp,40,2.999999999999814,2.999999999999782,2.99999999999984,5.81756864903582e-14,15.404406300117012
amp_damp,80,2.999999999999834,2.999999999999803,2.999999999999859,5.595524044110789e-14,28.59871484183892
