setting,channel,ell,q,n_theta,lambda_resp,lambda_fd_extrap,abs_err,rel_err,status
chain_n8,dephase,1,0,40,7.991999999998493,7.9999994021308645,0.007999402132371713,0.0010009261927393922,contractive
chain_n8,amp_damp,1,0,40,2.9999999999998157,2.999999973341526,2.665828979786511e-08,8.886096599288916e-09,contractive
chain_n8,corr_dephase,1,0,40,0.0,-4.194490559872083e-11,4.194490559872083e-11,,contractive
