ell,q,lambda_coh,omega_op,omega_resp_pred,delta_pred,delta_meas,delta_ci_lo,delta_ci_hi,protected_pred
2,0,3.9960000000001106,0.0,7.499692034125817e-16,5.993753873673519e-17,5.551115123125783e-16,-5.7787108431739395e-15,6.772360450213455e-15,True
1,0,3.9960000000001106,0.9687836789735114,6.677581400209995e-16,5.3367230550479766e-17,4.440892098500626e-16,-4.6629367034256575e-15,5.662137425588298e-15,True
2,1,3.9960000000001106,0.0,7.499692034125817e-16,5.993753873673519e-17,1.2212453270876722e-15,-6.8833827526759706e-15,7.441269822550109e-15,True
1,1,3.9960000000001106,0.009930674402526495,6.677581400209995e-16,5.3367230550479766e-17,-2.220446049250313e-16,-6.000755448098971e-15,4.773959005888173e-15,True
