channel,max_abs_diff
amp_damp,8.43769498715119e-15
dephase,5.329070518200751e-15
depol,1.2212453270876722e-15
x_err,9.899605033703018e-05
inhom_dephase,4.218847493575595e-15
site_amp_damp,4.440892098500626e-15
biased_pauli,2.1831580624964708e-05
coh_diss_mix,5.10702591327572e-15
corr_dephase,3.1086244689504383e-15
