n,sector_dim,pair_dim,t_generator_s,t_full_audit_s,t_matched_measurement_s,t_audit_spread_s,t_sweep_spread_s,n_window_points,audit_speedup
4,4,12,0.006258249282836914,0.1281421184539795,0.4397573471069336,0.004723072052001953,0.026183605194091797,4,3.431793952000774
6,6,30,0.05133843421936035,0.8229737281799316,4.51698112487793,0.04530000686645508,3.093579053878784,4,5.488609138067595
8,8,56,1.3696067333221436,28.52561926841736,85.93754744529724,0.2905886173248291,1.9372889995574951,4,3.0126444105087145
