window_defect,model,R2,RMSE,n,intercept,log_gL,log_rate
0.8,lambda_coh,0.8515471596399704,0.4196226920028181,33,-0.12438666077944958,0.8858920500206816,0.9126394442871841
0.8,response_rate,0.9925933335134857,0.09372945775087098,33,0.2822170852239211,0.8863985725928107,0.8641384082638836
0.4,lambda_coh,0.8276466713213912,0.42936249124234876,27,0.09315889919062599,0.952724094178247,0.9473805981675727
0.4,response_rate,0.9978098859703111,0.048400252582580405,27,0.3931103015655699,0.9241436197379553,0.911627820138037
0.2,lambda_coh,0.7561469306946228,0.4490199514764808,18,0.144215323705071,0.9568044286069405,0.9009427034405793
0.2,response_rate,0.9993753849675621,0.02272520143584065,18,0.49267880533886,0.9540961997411094,0.9539416537183204
