channel,ell,q,gamma_L,gamma,lambda_coh,m2_zero,m2_noise,delta_tilde,ci_lo,ci_hi,n_used,omega_hat
amp_damp,2,0,0.01,0.0033333333333333335,0.9999999999998899,0.00011576829096642663,0.00011347213432206999,0.019834072224686694,0.01983407222468203,0.01983407222469169,30,0.991703611234444
amp_damp,2,0,0.03,0.01,0.9999999999998899,0.00011576829096642663,0.0001089935478749702,0.05851985059899645,0.058519850598990564,0.058519850599001444,30,0.9753308433167149
amp_damp,2,0,0.05,0.016666666666666666,0.9999999999998899,0.00011576829096642663,0.00010466324356289525,0.09592477621313344,0.09592477621312845,0.09592477621313833,30,0.9592477621314401
amp_damp,2,0,0.1,0.03333333333333333,0.9999999999998899,0.00011576829096642663,9.446046543092498e-05,0.18405580109739228,0.18405580109738817,0.18405580109739605,30,0.9202790054870628
amp_damp,2,0,0.2,0.06666666666666667,0.9999999999998899,0.00011576829096642663,7.652622349433734e-05,0.338970776406034,0.33897077640603024,0.33897077640603746,30,0.8474269410151783
amp_damp,2,0,0.3,0.09999999999999999,0.9999999999998899,0.00011576829096642663,6.152401631948873e-05,0.46855900000000006,0.4685589999999977,0.4685590000000024,30,0.7809316666667527
amp_damp,1,0,0.01,0.0033333333333333335,0.9999999999998899,0.00011576829096642701,0.00011347213432206938,0.019834072224695132,0.01983407222468525,0.019834072224704347,30,0.9917036112348658
amp_damp,1,0,0.03,0.01,0.9999999999998899,0.00011576829096642701,0.00010899354787497007,0.058519850599000556,0.058519850598995116,0.058519850599005996,30,0.9753308433167833
amp_damp,1,0,0.05,0.016666666666666666,0.9999999999998899,0.00011576829096642701,0.00010466324356289544,0.09592477621313467,0.09592477621312834,0.09592477621314155,30,0.9592477621314524
amp_damp,1,0,0.1,0.03333333333333333,0.9999999999998899,0.00011576829096642701,9.446046543092451e-05,0.18405580109739894,0.18405580109739428,0.18405580109740327,30,0.9202790054870961
amp_damp,1,0,0.2,0.06666666666666667,0.9999999999998899,0.00011576829096642701,7.652622349433746e-05,0.3389707764060351,0.3389707764060317,0.338970776406039,30,0.8474269410151811
amp_damp,1,0,0.3,0.09999999999999999,0.9999999999998899,0.00011576829096642701,6.152401631948899e-05,0.4685589999999995,0.46855899999999706,0.46855900000000195,30,0.7809316666667518
dephase,2,0,0.01,0.0033333333333333335,3.9959999999998885,0.00011576829096642663,0.00010973614434771158,0.052105343944866545,0.05210534394483901,0.05210534394489008,30,0.6519687680789289
dephase,2,0,0.03,0.01,3.9959999999998885,0.00011576829096642663,9.84913811417254e-05,0.14923697741820874,0.14923697741818787,0.14923697741823116,30,0.6224431824249788
dephase,2,0,0.05,0.016666666666666666,3.9959999999998885,0.00011576829096642663,8.826805714156263e-05,0.2375454763588002,0.23754547635877887,0.23754547635882084,30,0.5944581490460631
dephase,2,0,0.1,0.03333333333333333,3.9959999999998885,0.00011576829096642663,6.666284357728922e-05,0.4241700985581469,0.4241700985581369,0.42417009855815935,30,0.5307433665642627
dephase,2,0,0.2,0.06666666666666667,3.9959999999998885,0.00011576829096642663,3.684735920362608e-05,0.6817145792165836,0.6817145792165777,0.6817145792165895,30,0.42649811012049715
dephase,2,0,0.3,0.09999999999999999,3.9959999999998885,0.00011576829096642663,1.942269623494582e-05,0.8322278400000005,0.8322278399999985,0.8322278400000027,30,0.34710870870871857
dephase,1,0,0.01,0.0033333333333333335,3.9959999999998885,0.00011576829096642701,0.00010973614434771155,0.052105343944869986,0.05210534394484222,0.05210534394489264,30,0.651968768078972
dephase,1,0,0.03,0.01,3.9959999999998885,0.00011576829096642701,9.84913811417251e-05,0.14923697741821407,0.14923697741819453,0.14923697741823339,30,0.622443182425001
dephase,1,0,0.05,0.016666666666666666,3.9959999999998885,0.00011576829096642701,8.826805714156259e-05,0.23754547635880308,0.23754547635878576,0.23754547635881862,30,0.5944581490460703
dephase,1,0,0.1,0.03333333333333333,3.9959999999998885,0.00011576829096642701,6.666284357728925e-05,0.4241700985581486,0.4241700985581399,0.4241700985581588,30,0.5307433665642648
dephase,1,0,0.2,0.06666666666666667,3.9959999999998885,0.00011576829096642701,3.684735920362666e-05,0.6817145792165796,0.6817145792165723,0.6817145792165864,30,0.42649811012049466
dephase,1,0,0.3,0.09999999999999999,3.9959999999998885,0.00011576829096642701,1.9422696234945847e-05,0.8322278400000008,0.8322278399999974,0.8322278400000046,30,0.34710870870871874
depol,2,0,0.01,0.0033333333333333335,6.647586339771916,0.00011576829096642663,0.00010222096019527727,0.11702108287214974,0.1170210828721382,0.11702108287215995,30,0.8801772319377263
depol,2,0,0.03,0.01,6.647586339771916,0.00011576829096642663,7.969272996002493e-05,0.31161867127211706,0.31161867127210907,0.3116186712721225,30,0.781282747713834
depol,2,0,0.05,0.016666666666666666,6.647586339771916,0.00011576829096642663,6.212617153761684e-05,0.46335761702110867,0.4633576170211027,0.463357617021114,30,0.6970313634723048
depol,2,0,0.1,0.03333333333333333,6.647586339771916,0.00011576829096642663,3.3332230081671054e-05,0.7120780672892756,0.712078067289273,0.7120780672892781,30,0.5355914394289067
depol,2,0,0.2,0.06666666666666667,6.647586339771916,0.00011576829096642663,9.59909964818965e-06,0.9170835159778472,0.9170835159778462,0.9170835159778483,30,0.34489342037237575
depol,2,0,0.3,0.09999999999999999,6.647586339771916,0.00011576829096642663,2.7707578581562857e-06,0.9760663491269832,0.9760663491269828,0.9760663491269835,30,0.2447169792759379
depol,1,0,0.01,0.0033333333333333335,6.647586339771916,0.00011576829096642701,0.00010222096019527748,0.11702108287215096,0.11702108287213553,0.11702108287216495,30,0.8801772319377356
depol,1,0,0.03,0.01,6.647586339771916,0.00011576829096642701,7.969272996002509e-05,0.31161867127211795,0.31161867127210996,0.3116186712721254,30,0.7812827477138362
depol,1,0,0.05,0.016666666666666666,6.647586339771916,0.00011576829096642701,6.212617153761696e-05,0.46335761702110945,0.46335761702110523,0.463357617021114,30,0.697031363472306
depol,1,0,0.1,0.03333333333333333,6.647586339771916,0.00011576829096642701,3.3332230081671135e-05,0.7120780672892758,0.7120780672892724,0.712078067289279,30,0.5355914394289069
depol,1,0,0.2,0.06666666666666667,6.647586339771916,0.00011576829096642701,9.599099648189728e-06,0.9170835159778468,0.9170835159778457,0.9170835159778479,30,0.3448934203723756
depol,1,0,0.3,0.09999999999999999,6.647586339771916,0.00011576829096642701,2.770757858156312e-06,0.976066349126983,0.9760663491269826,0.9760663491269834,30,0.24471697927593786
x_err,2,0,0.01,0.0033333333333333335,7.973049945035248,0.00011576829096642663,9.865995011695121e-05,0.14778088807095646,0.14777616785782716,0.14778637687725873,30,0.9267525544787187
x_err,2,0,0.03,0.01,7.973049945035248,0.00011576829096642663,7.169479594363822e-05,0.380704376430416,0.38067308681771306,0.38074075981045336,30,0.7958150248962077
x_err,2,0,0.05,0.016666666666666666,7.973049945035248,0.00011576829096642663,5.214240916260603e-05,0.5495967960887702,0.5495327178633718,0.5496713011754333,30,0.6893181403322319
x_err,2,0,0.1,0.03333333333333333,7.973049945035248,0.00011576829096642663,2.3618858000634777e-05,0.795981630172943,0.7958614361134945,0.7961213393874221,30,0.4991701015673394
x_err,2,0,0.2,0.06666666666666667,7.973049945035248,0.00011576829096642663,4.9566465374251545e-06,0.9571847653960565,0.9570763227330168,0.9573106474251224,30,0.3001313085941746
x_err,2,0,0.3,0.09999999999999999,7.973049945035248,0.00011576829096642663,1.0817514097091362e-06,0.9906558920350405,0.9905982757960224,0.9907224426832435,30,0.20708426069999175
x_err,1,0,0.01,0.0033333333333333335,7.973049945035248,0.00011576829096642701,9.866040035181972e-05,0.14777699896743401,0.14777151015604126,0.1477817191489717,30,0.9267281654208973
x_err,1,0,0.03,0.01,7.973049945035248,0.00011576829096642701,7.169778040458433e-05,0.3806785968242652,0.38064221313627744,0.3807098845265903,30,0.7957611358442797
x_err,1,0,0.05,0.016666666666666666,7.973049945035248,0.00011576829096642701,5.2148520723149966e-05,0.5495440047717979,0.5494694979095915,0.5496080719825135,30,0.6892519281332162
x_err,1,0,0.1,0.03333333333333333,7.973049945035248,0.00011576829096642701,2.36303186041948e-05,0.795882634122606,0.7957429111267067,0.7960027426881083,30,0.49910801989782805
x_err,1,0,0.2,0.06666666666666667,7.973049945035248,0.00011576829096642701,4.966974547888892e-06,0.9570955526213191,0.9569696173025802,0.9572036646983492,30,0.3001033353670682
x_err,1,0,0.3,0.09999999999999999,7.973049945035248,0.00011576829096642701,1.0872132092289086e-06,0.9906087133173263,0.9905420944771607,0.9906657625179722,30,0.20707439857737464
inhom_dephase,2,0,0.01,0.0033333333333333335,5.706142857142105,0.00011576829096642663,0.00011228669748877635,0.030073809059338763,0.030073809059329097,0.03007380905934831,30,0.26352134718899317
inhom_dephase,2,0,0.03,0.01,5.706142857142105,0.00011576829096642663,0.00010559672032627837,0.08786145632138653,0.0878614563213771,0.0878614563213973,30,0.2566282762310404
inhom_dephase,2,0,0.05,0.016666666666666666,5.706142857142105,0.00011576829096642663,9.925737671604517e-05,0.14262035063789358,0.14262035063788336,0.1426203506379058,30,0.2499417806537783
inhom_dephase,2,0,0.1,0.03333333333333333,5.706142857142105,0.00011576829096642663,8.484058325645058e-05,0.2671518034151963,0.2671518034151904,0.2671518034152026,30,0.23409140824507682
inhom_dephase,2,0,0.2,0.06666666666666667,5.706142857142105,0.00011576829096642663,6.138531155735965e-05,0.46975712395061886,0.4697571239506142,0.4697571239506243,30,0.2058120238624268
inhom_dephase,2,0,0.3,0.09999999999999999,5.706142857142105,0.00011576829096642663,4.380128380875509e-05,0.6216469687588488,0.6216469687588442,0.6216469687588541,30,0.18157243994828112
inhom_dephase,1,0,0.01,0.0033333333333333335,5.706142857142105,0.00011576829096642701,0.00011228669748877706,0.030073809059335765,0.030073809059321,0.030073809059351198,30,0.2635213471889669
inhom_dephase,1,0,0.03,0.01,5.706142857142105,0.00011576829096642701,0.00010559672032627921,0.08786145632138231,0.0878614563213731,0.08786145632139186,30,0.2566282762310281
inhom_dephase,1,0,0.05,0.016666666666666666,5.706142857142105,0.00011576829096642701,9.925737671604551e-05,0.14262035063789347,0.1426203506378827,0.14262035063790734,30,0.24994178065377812
