setting,channel,ell,q,n_theta,lambda_resp,lambda_fd_extrap,abs_err,rel_err,status
ring_n10,dephase,2,0,20,7.99199999999857,7.999998880776071,0.007998880777501327,0.0010008609581459908,contractive
ring_n10,amp_damp,2,0,20,2.999999999999857,2.999999950030753,4.996910396570797e-08,1.665636798857012e-08,contractive
