L,ell,q,channel,lambda_coh,omega_pred,omega_pred_ci_lo,omega_pred_ci_hi,ess,omega_hat,r_slot0,r_slot1,r_slot2,r_slot3,r_slot4,r_slot5
3,2,0,amp_damp,0.9999999999998899,1.0000000000000482,1.0000000000000389,1.0000000000000566,15.404406300117012,0.991703611234444,0.9999999999999908,0.9999999999998969,0.9999999999999263,,,
3,2,0,dephase,3.9959999999998885,0.6666666666665876,0.666666666666557,0.6666666666666162,15.404406300117012,0.6519687680789289,3.995999999999946,3.9959999999994387,-5.533407612969956e-13,,,
3,2,0,depol,6.647586339771916,0.9334977571959873,0.9334977571959808,0.9334977571959944,15.404406300117012,0.8801772319377263,6.64758633977172,6.647586339771613,5.321348137287967,,,
3,2,0,corr_dephase,3.9960000000001106,7.499692034125817e-16,-2.6408562660262755e-16,3.080805534335903e-15,15.404406300117012,6.945839743650687e-15,0.0,7.840826877915581e-15,1.149803932594698e-15,,,
4,2,0,amp_damp,0.9999999999998899,1.0000000000000233,1.0000000000000153,1.0000000000000302,13.368091696556688,0.9912936135544373,0.999999999999969,0.9999999999998757,0.9999999999999101,0.9999999999998979,,
4,2,0,dephase,3.9959999999998885,0.49999999999992045,0.4999999999999077,0.4999999999999391,13.368091696556688,0.4918287840911361,-0.020030143579434216,3.995999999999985,4.016030143578616,-6.625345173287034e-13,,
4,2,0,depol,6.647586339771916,0.9002466357939954,0.9002466357939857,0.9002466357940031,13.368091696556688,0.850083275555768,5.314700304050969,6.647586339771385,6.65423417300888,5.321348137287917,,
4,2,0,corr_dephase,3.9960000000001106,0.5025062742216488,0.46329523148237806,0.5310818419314032,13.368091696556688,0.48846121239635104,0.0,4.016030143579578,4.016030143579479,0.0,,
5,3,7,amp_damp,0.9999999999998899,1.0000000000000324,1.0000000000000226,1.0000000000000424,15.449943440796758,0.9910478324026509,0.9999999999999728,0.9999999999998848,0.9999999999999294,0.999999999999911,0.9999999999999134,
5,3,7,dephase,3.9959999999998885,0.4948546120013802,0.4442594335343004,0.5401556606768603,15.449943440796758,0.4926923534219913,0.7427562217646134,3.995999999999881,3.9959999999991243,1.152438926024342,-6.603977656859642e-13,
5,3,7,depol,6.647586339771916,0.899220096268009,0.8891260177386241,0.9082579602828877,15.449943440796758,0.8501857231648284,5.567862570830944,6.6475863397714186,6.6475863397716175,5.703832754335999,5.321348137288042,
5,3,7,corr_dephase,3.9960000000001106,0.3999999999999949,0.3999999999999911,0.3999999999999975,15.449943440796758,0.3948394161315051,0.0,3.9960000000001066,3.9960000000000058,0.0,6.119461548794552e-15,
6,2,0,amp_damp,0.9999999999998899,1.0000000000000326,1.0000000000000222,1.0000000000000435,10.96432992833598,0.9908840687954815,0.9999999999999806,0.9999999999998866,0.9999999999999215,0.9999999999999162,0.9999999999999217,0.9999999999999084
6,2,0,dephase,3.9959999999998885,0.6238009569838247,0.5871749675102848,0.6654430686913205,10.96432992833598,0.6264507443649907,2.0875906918281197,3.995999999999738,4.16253148215874,2.915188975170654,1.7949405954873074,-7.954228703176031e-13
6,2,0,depol,6.647586339771916,0.9249457596961268,0.9176386283614115,0.9332536411670508,10.96432992833598,0.8748569755745069,6.014201622436257,6.647586339771518,6.7028567135343655,6.288874410143687,5.917073559941748,5.321348137288007
6,2,0,corr_dephase,3.9960000000001106,0.30084696077973094,0.20354299334159984,0.35922427521885975,10.96432992833598,0.4534788090652862,0.0,1.8116127703397207,1.8116127703396572,1.794940595487817,1.794940595487834,-3.458539173537972e-16
