channel,loco_rmse
amp_damp,0.03790243135062481
dephase,0.03932133719648007
depol,0.049144087309065346
x_err,0.0830199544810284
inhom_dephase,0.03628650512124183
site_amp_damp,0.07360180570894236
biased_pauli,0.06026727030086476
