channel,family,lambda_coh_worst,lambda_coh_typical,lambda_vis_op,omega_op,rate_sum_resp,omega_resp_pred,audit_seconds
amp_damp,isotropic,0.9999999999998899,0.9999999999998899,0.9999999999998899,1.0,2.999999999999814,1.0000000000000482,27.012338399887085
dephase,isotropic,3.9959999999998885,3.995999999999445,3.9959999999992233,0.9999999999998336,7.991999999998829,0.6666666666665876,27.595577239990234
depol,isotropic,6.647586339771916,6.647586339771753,6.647586339771917,1.0000000000000002,18.616520816831297,0.9334977571959873,39.09415030479431
x_err,isotropic,7.973049945035248,7.972055930055234,7.97106191507522,0.9997506562766152,23.918224962192372,0.9999613333701346,25.597699642181396
inhom_dephase,structured,5.706142857142105,3.9960612244893707,2.2844285714282986,0.40034549232657035,4.568857142856296,0.26689699488436264,29.254045724868774
site_amp_damp,structured,1.4285739832412547,1.0000306428893537,0.5714311239074511,0.4000010714257484,1.7142908192433464,0.40000047584837856,28.615463972091675
biased_pauli,structured,7.177639381021345,7.177480147486806,7.177320913952397,0.9999556306674043,20.737876182016795,0.9630778347939184,34.47541403770447
coh_diss_mix,structured,0.9999999999998899,0.9999999999998899,0.9999999999998899,1.0,2.9999999999987947,0.9999999999997083,32.402968406677246
corr_dephase,structured,3.9960000000001106,3.4251428571429514,0.0,0.0,8.990630810510278e-15,7.499692034125817e-16,24.220264434814453
