channel,case,n_draws,lambda_resp,lambda_resp_ci_lo,lambda_resp_ci_hi,lambda_fd_extrap,lambda_fd_h2e-05,lambda_fd_h5e-05,lambda_fd_h0.0001,lambda_fd_h0.0002,abs_err,rel_err,bootstrap_B,bootstrap_seed,status
amp_damp,dissipative,40,2.999999999999814,2.999999999999786,2.9999999999998392,2.9999999222333265,2.9998500039624116,2.999625024988628,2.9992500999825866,2.9985003999427606,7.77664874718198e-08,2.5922162490608207e-08,200,10001,contractive
dephase,dissipative,40,7.991999999998829,7.9919999999984634,7.991999999999172,7.999998259237318,7.998880089213344,7.997200559902717,7.994402239391296,7.988808955504966,0.00799825923848907,0.0010007831879992794,200,10001,contractive
depol,dissipative,40,18.616520816831297,18.61652081683117,18.61652081683144,18.666633198814264,18.659708391940974,18.649277448475885,18.631909773387243,18.597238933948656,0.050112381982966525,0.0026918231648128178,200,10001,contractive
x_err,dissipative,40,23.918224962192372,23.91792992081738,23.918499755088302,23.999927289014504,23.988405142502664,23.971026915606817,23.942100649895767,23.884388233398333,0.08170232682213197,0.0034159025994311507,200,10001,contractive
inhom_dephase,dissipative,40,4.568857142856296,4.568857142856215,4.568857142856383,4.571428248676288,4.571063689937094,4.570516430323357,4.569604496742485,4.567781252007019,0.002571105819991537,0.0005627459427160307,200,10001,contractive
site_amp_damp,dissipative,40,1.7142908192433464,1.714290819243307,1.7142908192433868,1.7142856998248783,1.7142368374550851,1.7141635249728893,1.7140413450644765,1.7137970129327273,5.1194184680358745e-06,2.9863185467536266e-06,200,10001,contractive
biased_pauli,dissipative,40,20.737876182016795,20.737828918663794,20.737920201719835,20.799953105721283,20.791321041091493,20.778311667114522,20.756653524190426,20.713427618751222,0.06207692370448825,0.002993407963266717,200,10001,contractive
coh_diss_mix,dissipative,40,2.9999999999987947,2.999999999998398,2.9999999999991824,2.999999922256144,2.9998500042760496,2.999625024689978,2.999250099831041,2.9985003999372095,7.774265053939189e-08,2.5914216846474374e-08,200,10001,contractive
corr_dephase,protected,40,8.990630810510278e-15,-3.1658584917123867e-15,3.693269674561983e-14,1.09320554988358e-11,3.0531133177191805e-11,-2.886579864025407e-11,2.275957200481571e-11,-2.7755575615628914e-12,1.092306486802529e-11,,200,10001,contractive
site_z_overrotation,signed,400,-0.5837213055835976,-1.0592635787281437,-0.15889783385206419,-0.583741716006838,-0.5839766350546061,-0.5843290138995982,-0.5849163119231449,-0.5860909074406617,2.0410423240413422e-05,3.496604123436496e-05,200,10001,coherent_dominated
